,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,model_cat,details_cat,make_cat
7132,47139,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,14,21,39990,2014,343,778,6
7133,69376,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,17,25,28990,2014,25,182,3
7134,96600,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,17,24,23990,2014,37,259,11
7135,9673,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,13,21,56990,2012,194,446,23
7136,14858,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,15,24,61990,2013,262,623,10
7137,41572,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,21,31,25990,2014,122,270,20
7138,39553,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,20,28,27990,2014,119,262,25
7139,71613,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,26,26990,2014,262,330,10
7140,53282,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28,36,15990,2013,109,247,22
7141,46872,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,24,35,17990,2013,368,547,14
