,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
718,2013 Volkswagen,Beetle,2.5L,"22,647 miles",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21 City,27 Hwy,1,"$26,990 ",https://www.carvana.com/vehicle/2124829
719,2013 Porsche,Boxster,base,"62,194 miles",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,22 City,32 Hwy,1,"$39,990 ",https://www.carvana.com/vehicle/2033322
720,2013 BMW,5 Series,535i,"39,239 miles",1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,20 City,30 Hwy,1,"$27,590 ",https://www.carvana.com/vehicle/2128213
721,2013 Cadillac,ATS,3.6L Premium,"27,890 miles",1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,19 City,28 Hwy,1,"$25,990 ",https://www.carvana.com/vehicle/2105004
722,2013 Lexus,IS,IS 250C,"27,369 miles",1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,21 City,30 Hwy,1,"$31,990 ",https://www.carvana.com/vehicle/2104759
723,2013 Chevrolet,Corvette,base,"86,894 miles",1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,15 City,25 Hwy,1,"$32,990 ",https://www.carvana.com/vehicle/2075727
724,2013 Toyota,FJ Cruiser,base,"83,638 miles",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16 City,20 Hwy,1,"$34,590 ",https://www.carvana.com/vehicle/1984306
725,2013 Ford,F150 SuperCrew Cab,SVT Raptor 5 1/2 ft,"42,297 miles",1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,11 City,16 Hwy,1,"$50,590 ",https://www.carvana.com/vehicle/1866354
726,2013 Porsche,Boxster,base,"57,368 miles",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,20 City,30 Hwy,1,"$43,990 ",https://www.carvana.com/vehicle/2152683
727,2013 BMW,Z4,sDrive35is,"39,664 miles",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,17 City,24 Hwy,1,"$35,990 ",https://www.carvana.com/vehicle/2118877
728,2013 Honda,Accord,EX-L,"52,374 miles",1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,21 City,32 Hwy,1,"$20,990 ",https://www.carvana.com/vehicle/2065003
729,2013 Honda,Fit,base,"70,368 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,35 Hwy,1,"$15,990 ",https://www.carvana.com/vehicle/2128947
730,2013 Hyundai,Elantra,Limited,"68,345 miles",1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,28 City,38 Hwy,1,"$16,590 ",https://www.carvana.com/vehicle/1969201
731,2013 Lexus,ES,ES 350,"75,282 miles",1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,21 City,31 Hwy,1,"$23,990 ",https://www.carvana.com/vehicle/2099259
732,2013 Toyota,Corolla,LE,"34,552 miles",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/1941275
