,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,make
6340,Murano,SL,78928,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,18,23,18590,2013,Nissan
6341,Camaro,LS,17443,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,17,28,22590,2013,Chevrolet
6342,Civic,LX,65468,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,16990,2013,Honda
6343,RX,RX 350,59606,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,18,25,24990,2013,Lexus
6344,Fusion,SE,55740,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,22,34,17590,2013,Ford
6345,Civic,LX,9042,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,19990,2013,Honda
6346,Taurus,SEL,70161,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,16990,2013,Ford
6347,Elantra,Limited,52801,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,28,38,17590,2013,Hyundai
6348,Elantra,GLS,59683,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28,38,15990,2013,Hyundai
6349,Fusion,Titanium,49885,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,22,33,18990,2013,Ford
6350,Terrain,SLE-1,49657,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,22,32,19990,2013,GMC
6351,Accord,Sport,26231,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,36,21990,2013,Honda
6352,CT,CT 200h,56793,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,43,40,22990,2013,Lexus
6353,Civic,EX,58599,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,17590,2013,Honda
6354,A6,2.0T Premium Plus,26786,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,20,30,24990,2013,Audi
6355,Corolla,LE,56602,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,26,34,17990,2013,Toyota
6356,Encore,base,45031,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,25,33,18590,2013,Buick
6357,X1,xDrive35i,77523,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,18,27,19990,2013,BMW
6358,Beetle,2.5L,75345,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22,29,16990,2013,Volkswagen
6359,Elantra,GLS,53093,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28,38,16990,2013,Hyundai
6360,Elantra,GT,78547,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,27,37,15990,2013,Hyundai
6361,Golf,2.5L,62339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,31,15990,2013,Volkswagen
6362,500,500c Abarth Cabrio,42826,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,28,34,19590,2013,FIAT
6363,RAV4,Limited,77501,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,24,31,21990,2013,Toyota
